Date,Type,Count
3/31/2015,PUBLISHING_TASK,1
4/9/2015,CALL,2
4/9/2015,NOTE,2
4/15/2015,CALL,1
4/17/2015,NOTE,2
4/21/2015,TASK,1
6/5/2015,TASK,1
6/24/2015,TASK,1
7/7/2015,TASK,1
7/13/2015,PUBLISHING_TASK,1
7/16/2015,NOTE,1
7/21/2015,NOTE,1
8/17/2015,TASK,2
8/17/2015,NOTE,1
8/17/2015,CALL,1
10/7/2015,NOTE,2
10/7/2015,EMAIL,1
10/9/2015,NOTE,1
10/9/2015,EMAIL,1
10/9/2015,TASK,1
10/9/2015,CALL,1
10/9/2015,MEETING,1
10/24/2015,CALL,1
11/3/2015,NOTE,1
11/18/2015,NOTE,1
12/16/2015,NOTE,2
12/24/2015,NOTE,1
12/28/2015,TASK,1
12/28/2015,MEETING,2
12/28/2015,NOTE,2
12/29/2015,NOTE,1
12/30/2015,PUBLISHING_TASK,1
1/7/2016,TASK,2
1/7/2016,NOTE,1
1/7/2016,CALL,3
1/8/2016,TASK,7
1/8/2016,NOTE,1
1/11/2016,NOTE,1
1/11/2016,PUBLISHING_TASK,1
1/11/2016,TASK,9
1/12/2016,TASK,9
1/13/2016,PUBLISHING_TASK,2
1/13/2016,TASK,10
1/14/2016,TASK,9
1/15/2016,TASK,3
1/18/2016,TASK,3
1/21/2016,TASK,4
1/28/2016,NOTE,1
1/28/2016,TASK,1
2/1/2016,NOTE,2
2/5/2016,CALL,1
2/8/2016,NOTE,1
2/19/2016,NOTE,22
2/20/2016,NOTE,59
2/22/2016,NOTE,1
2/23/2016,NOTE,15
3/1/2016,NOTE,3
3/2/2016,TASK,3
3/3/2016,TASK,3
3/4/2016,TASK,1
3/7/2016,TASK,10
3/15/2016,PUBLISHING_TASK,1
3/16/2016,NOTE,2
3/16/2016,EMAIL,5
3/17/2016,NOTE,3
3/19/2016,NOTE,42
3/20/2016,NOTE,36
3/21/2016,NOTE,15
3/22/2016,PUBLISHING_TASK,1
3/24/2016,CALL,1
3/24/2016,EMAIL,14
3/29/2016,NOTE,3
3/29/2016,EMAIL,1
4/8/2016,EMAIL,1
4/21/2016,EMAIL,1
4/21/2016,NOTE,1
4/26/2016,MEETING,1
5/2/2016,NOTE,1
5/4/2016,EMAIL,3
5/4/2016,NOTE,1
5/4/2016,MEETING,1
5/4/2016,CALL,3
5/9/2016,NOTE,1
5/12/2016,NOTE,24
5/12/2016,MEETING,3
5/13/2016,NOTE,17
5/14/2016,NOTE,12
5/17/2016,MEETING,1
5/17/2016,PUBLISHING_TASK,2
5/23/2016,NOTE,24
5/25/2016,CALL,3
5/26/2016,TASK,1
5/26/2016,NOTE,1
5/31/2016,CALL,3
6/1/2016,NOTE,6
6/2/2016,NOTE,21
6/3/2016,CALL,1
6/3/2016,NOTE,65
6/6/2016,EMAIL,6
6/6/2016,TASK,18
6/7/2016,EMAIL,301
6/8/2016,EMAIL,26321
6/8/2016,NOTE,1
6/16/2016,PUBLISHING_TASK,1
6/19/2016,NOTE,6
6/20/2016,CALL,1
6/21/2016,NOTE,1
6/24/2016,EMAIL,1
6/24/2016,NOTE,1
6/29/2016,CALL,2
6/29/2016,NOTE,6
6/30/2016,PUBLISHING_TASK,1
7/4/2016,PUBLISHING_TASK,1
7/6/2016,PUBLISHING_TASK,2
7/7/2016,NOTE,1
7/13/2016,MEETING,1
7/13/2016,NOTE,1
7/13/2016,CALL,1
7/14/2016,PUBLISHING_TASK,4
7/14/2016,NOTE,1
7/18/2016,NOTE,2
7/22/2016,PUBLISHING_TASK,1
7/25/2016,NOTE,1
7/25/2016,CALL,3
7/25/2016,EMAIL,1
7/28/2016,NOTE,3
8/2/2016,MEETING,1
8/2/2016,NOTE,1
8/3/2016,NOTE,1
8/16/2016,NOTE,3
8/16/2016,EMAIL,1
8/17/2016,NOTE,1
8/17/2016,EMAIL,1
8/22/2016,NOTE,1
8/22/2016,EMAIL,1
8/23/2016,NOTE,1
8/25/2016,NOTE,1
8/25/2016,EMAIL,1
8/29/2016,TASK,3
9/8/2016,NOTE,2
9/9/2016,NOTE,1
9/9/2016,EMAIL,1
9/9/2016,MEETING,1
9/9/2016,TASK,1
9/15/2016,NOTE,1
9/15/2016,MEETING,1
9/15/2016,TASK,1
10/12/2016,NOTE,2
10/13/2016,NOTE,1
10/23/2016,NOTE,3
10/24/2016,CALL,2
10/24/2016,TASK,1
10/24/2016,NOTE,1
10/31/2016,NOTE,1
10/31/2016,TASK,1
10/31/2016,MEETING,1
11/3/2016,CALL,1
11/9/2016,NOTE,1
11/13/2016,CALL,1
11/18/2016,TASK,1
11/22/2016,NOTE,5
11/22/2016,TASK,9
11/23/2016,EMAIL,2
11/25/2016,EMAIL,1
11/27/2016,NOTE,1
12/2/2016,NOTE,1
12/9/2016,EMAIL,1
12/9/2016,NOTE,18
12/9/2016,CALL,1
12/15/2016,CALL,1
12/15/2016,NOTE,1
12/20/2016,NOTE,1
1/4/2017,EMAIL,1
1/4/2017,NOTE,7
1/5/2017,EMAIL,8
1/5/2017,NOTE,11
1/18/2017,PUBLISHING_TASK,1
1/19/2017,PUBLISHING_TASK,4
1/23/2017,PUBLISHING_TASK,1
2/3/2017,CALL,1
2/3/2017,NOTE,1
2/14/2017,NOTE,2
2/15/2017,EMAIL,1
2/15/2017,NOTE,7
2/15/2017,TASK,1
2/16/2017,MEETING,1
2/16/2017,NOTE,4
2/18/2017,NOTE,2
2/20/2017,PUBLISHING_TASK,1
2/22/2017,MEETING,1
2/22/2017,TASK,1
2/22/2017,NOTE,3
2/22/2017,EMAIL,1
3/2/2017,CALL,6
3/3/2017,CALL,57
3/5/2017,CALL,18
3/6/2017,CALL,7
3/7/2017,TASK,2
3/11/2017,NOTE,1
3/13/2017,TASK,1
3/13/2017,NOTE,1
3/18/2017,NOTE,1
3/21/2017,NOTE,1
3/22/2017,PUBLISHING_TASK,1
3/30/2017,TASK,1
4/4/2017,NOTE,3
4/4/2017,TASK,1
4/4/2017,MEETING,2
4/5/2017,NOTE,1
4/6/2017,NOTE,14
4/6/2017,TASK,1
4/7/2017,NOTE,11
4/10/2017,EMAIL,1
4/10/2017,TASK,1
4/10/2017,NOTE,1
4/11/2017,MEETING,2
4/11/2017,NOTE,2
4/12/2017,NOTE,1
4/18/2017,NOTE,1
4/19/2017,CALL,1
4/27/2017,NOTE,1
5/3/2017,TASK,2
5/3/2017,NOTE,1
5/4/2017,EMAIL,7
5/5/2017,EMAIL,4
5/8/2017,CALL,36
5/8/2017,NOTE,4
5/9/2017,CALL,9
5/9/2017,NOTE,3
5/10/2017,PUBLISHING_TASK,1
5/10/2017,CALL,1
5/11/2017,CALL,1
5/12/2017,PUBLISHING_TASK,1
5/14/2017,CALL,10
5/15/2017,PUBLISHING_TASK,1
5/15/2017,CALL,2
5/16/2017,MEETING,2
5/16/2017,TASK,1
5/16/2017,NOTE,1
5/17/2017,TASK,2
5/17/2017,NOTE,13
5/22/2017,NOTE,8
5/23/2017,TASK,11
5/24/2017,TASK,17
6/4/2017,CALL,1
6/5/2017,TASK,25
6/6/2017,NOTE,1
6/14/2017,PUBLISHING_TASK,1
6/14/2017,NOTE,1
6/16/2017,NOTE,1
6/16/2017,CALL,1
6/20/2017,CALL,5
6/23/2017,TASK,1
6/23/2017,PUBLISHING_TASK,1
6/26/2017,EMAIL,2
6/27/2017,EMAIL,2
6/28/2017,EMAIL,8
6/30/2017,NOTE,2
7/3/2017,EMAIL,1
7/4/2017,EMAIL,8
7/5/2017,PUBLISHING_TASK,2
7/6/2017,NOTE,1
7/6/2017,CALL,1
7/6/2017,TASK,5
7/7/2017,TASK,2
7/8/2017,PUBLISHING_TASK,1
7/9/2017,TASK,1
7/11/2017,NOTE,1
7/13/2017,PUBLISHING_TASK,4
7/17/2017,NOTE,1
7/20/2017,NOTE,2
7/25/2017,PUBLISHING_TASK,5
7/26/2017,CALL,1
7/26/2017,NOTE,1
7/26/2017,TASK,1
8/1/2017,TASK,12
8/4/2017,PUBLISHING_TASK,1
8/6/2017,NOTE,2
8/9/2017,NOTE,1
8/11/2017,CALL,2
8/25/2017,PUBLISHING_TASK,66
8/30/2017,NOTE,2
8/31/2017,NOTE,20
9/1/2017,NOTE,6
9/2/2017,NOTE,30
9/3/2017,NOTE,8
9/3/2017,PUBLISHING_TASK,1
9/4/2017,NOTE,15
9/5/2017,NOTE,3
9/6/2017,NOTE,13
9/7/2017,NOTE,58
9/9/2017,NOTE,4
9/11/2017,NOTE,1
9/18/2017,NOTE,2
9/19/2017,NOTE,2
